STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,REPORT_TYPE,DailyAverageDewPointTemperature,DailyAverageDryBulbTemperature,DailyAverageRelativeHumidity,DailyAverageWetBulbTemperature,DailyAverageWindSpeed,DailyMaximumDryBulbTemperature,DailyPrecipitation,DailySnowDepth,DailySnowfall,Sunrise,Sunset,daylight_time
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-03-22,6.93,,0.0,0.0,0.0,,63,41,,280.0,270.0,18.1,32.0,,,,,,,,SOD  ,27.0,52.0,42.0,41.0,6.9,63.0,0.0,0.0,0.0,05:56:00,18:10:00,734
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-03-23,7.38,,0.0,0.0,0.0,,42,27,,310.0,310.0,15.0,23.0,,,,,,,,SOD  ,14.0,35.0,38.0,30.0,7.4,42.0,0.0,0.0,0.0,05:55:00,18:11:00,736
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-03-24,6.71,,0.0,0.0,0.0,,35,21,,350.0,10.0,15.0,27.1,,,,,,,,SOD  ,3.0,28.0,34.0,21.0,6.7,35.0,0.0,0.0,0.0,05:53:00,18:12:00,739
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-03-25,5.82,,0.0,0.0,0.0,,39,26,,50.0,60.0,16.1,21.9,,,,,,,,SOD  ,10.0,33.0,39.0,26.0,5.9,39.0,0.0,0.0,0.0,05:51:00,18:13:00,742
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-03-26,11.86,,0.0,0.0,0.0,,36,24,,310.0,310.0,23.0,38.0,,,,,,,,SOD  ,6.0,30.0,35.0,24.0,11.9,36.0,0.0,0.0,0.0,05:50:00,18:14:00,744
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-03-27,6.71,,0.0,0.0,0.0,,44,22,,210.0,240.0,14.1,25.9,,,,,,,,SOD  ,10.0,33.0,39.0,26.0,6.7,44.0,0.0,0.0,0.0,05:48:00,18:15:00,747
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-03-28,5.37,,0.04,0.0,0.0,,62,37,,240.0,260.0,13.0,21.9,,,,,,,,SOD  ,40.0,50.0,63.0,46.0,5.3,62.0,0.04,0.0,0.0,05:47:00,18:16:00,749
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-03-29,10.74,,1.81,0.0,0.0,,59,43,,70.0,60.0,23.0,35.1,1.0,,,,,,,SOD  ,42.0,51.0,82.0,45.0,10.8,59.0,1.81,0.0,0.0,05:45:00,18:17:00,752
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-03-30,10.07,,0.35,0.0,0.0,,49,39,,10.0,30.0,21.0,30.0,,,,,,,,SOD  ,41.0,44.0,85.0,43.0,10.1,49.0,0.35,0.0,0.0,05:43:00,18:18:00,755
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-03-31,8.28,,0.16,0.0,0.0,,56,36,,340.0,10.0,13.0,25.1,1.0,,,,,,,SOD  ,31.0,46.0,61.0,39.0,8.3,56.0,0.16,0.0,0.0,05:42:00,18:19:00,757
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-04-01,4.7,,0.0,0.0,0.0,,60,39,,20.0,20.0,17.0,23.9,,,,,,,,SOD  ,28.0,50.0,47.0,39.0,4.7,60.0,0.0,0.0,0.0,05:40:00,18:20:00,760
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-04-02,2.01,,0.0,0.0,0.0,,54,42,,230.0,240.0,8.9,14.1,,,,,,,,SOD  ,38.0,48.0,68.0,43.0,1.9,54.0,0.0,0.0,0.0,05:38:00,18:21:00,763
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-04-03,3.8,,0.07,0.0,0.0,,67,46,,190.0,190.0,10.1,15.0,,,,,,,,SOD  ,29.0,57.0,43.0,43.0,3.7,67.0,0.07,0.0,0.0,05:37:00,18:23:00,766
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-04-04,8.5,,0.21,0.0,0.0,,47,40,,90.0,140.0,15.0,23.0,,,,,,,,SOD  ,36.0,44.0,79.0,40.0,8.4,47.0,0.21,0.0,0.0,05:35:00,18:24:00,769
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-04-05,8.5,,0.0,0.0,0.0,,54,40,,280.0,290.0,19.9,36.0,1.0,,,,,,,SOD  ,29.0,47.0,54.0,39.0,8.4,54.0,0.0,0.0,0.0,05:33:00,18:25:00,772
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-04-06,4.25,,0.0,0.0,0.0,,61,36,,280.0,310.0,13.0,18.1,,,,,,,,SOD  ,21.0,49.0,39.0,37.0,4.2,61.0,0.0,0.0,0.0,05:32:00,18:26:00,774
